permno,n_obs,lambda,lambda_t,lambda_p,alpha,beta,phi
10107,2264,-0.005914805497264419,-0.2599937884975309,0.7948922480234512,0.13826413205262703,0.7005735202740548,-0.0276120325412441
11850,2264,0.02661282352447612,1.1238525031694553,0.26119496304073897,0.10126663034133349,0.8706081312012119,-0.012586187723785214
13407,1264,-0.00408967311307433,-0.1665176458576431,0.8677763143528929,0.020907798393668277,0.9763443423709721,-0.009222445156833785
14542,1194,-0.03168077270224666,-1.5630330417577594,0.11831070126159973,0.14771727010644942,0.790959147870057,0.04603706245224323
14593,2264,-0.0007485898441074694,-0.03194430040803466,0.9745192907694757,0.10107001501921299,0.8275568356805272,0.02831076200450575
22111,2264,-0.018229504496964546,-0.5941933306042968,0.5524422858309029,0.072017866487817,0.9040461399505443,-0.028599572237197564
47896,2264,-0.00011073946880962461,-0.006549482103780763,0.994774884756097,0.08242912836774849,0.8848191682562766,-0.0642078202612292
83443,2235,0.022369635623867568,1.1314653244845339,0.25798089496758947,0.12129436292604101,0.8274050302678077,-0.1414449171457382
84788,2264,-0.01817651820164202,-1.299071066315095,0.1940520555596615,0.14685934142604334,0.7484595582125835,-0.010802630737677612
90319,2264,-0.015386913146192676,-0.6724359335112124,0.5013749544703892,0.0922355060173952,0.7994454449999251,0.01946463967620428
