model,cost_bps,n_days,annualised_return,annualised_volatility,sharpe_ratio,maximum_drawdown,avg_daily_turnover
mean_baseline,0,1258.0,0.396494,0.432558,0.9166,-0.5918,0.0474
lstm,0,1258.0,0.387943,0.435248,0.8913,-0.5811,1.0938
gru,0,1258.0,0.344261,0.426902,0.8064,-0.6101,0.9481
tft,0,1258.0,0.341271,0.445336,0.7663,-0.6346,1.1997
ar1_garch_t,0,1258.0,0.221372,0.435741,0.508,-0.6065,0.103
arma,0,1258.0,0.21381,0.4359,0.4905,-0.6065,0.103
mean_baseline,5,1258.0,0.384551,0.432539,0.8891,-0.5923,0.0474
ar1_garch_t,5,1258.0,0.195422,0.435552,0.4487,-0.6073,0.103
arma,5,1258.0,0.187863,0.435711,0.4312,-0.6073,0.103
lstm,5,1258.0,0.112306,0.435104,0.2581,-0.6023,1.0938
gru,5,1258.0,0.105332,0.426826,0.2468,-0.6288,0.9481
tft,5,1258.0,0.038955,0.445181,0.0875,-0.6562,1.1997
mean_baseline,10,1258.0,0.372607,0.432522,0.8615,-0.5927,0.0474
ar1_garch_t,10,1258.0,0.169472,0.435413,0.3892,-0.608,0.103
arma,10,1258.0,0.161915,0.435571,0.3717,-0.608,0.103
gru,10,1258.0,-0.133596,0.426801,-0.313,-0.7278,0.9481
lstm,10,1258.0,-0.163332,0.434993,-0.3755,-0.7349,1.0938
tft,10,1258.0,-0.26336,0.445063,-0.5917,-0.8487,1.1997
mean_baseline,25,1258.0,0.336777,0.43248,0.7787,-0.5941,0.0474
ar1_garch_t,25,1258.0,0.091621,0.435294,0.2105,-0.6104,0.103
arma,25,1258.0,0.084072,0.435453,0.1931,-0.6104,0.103
gru,25,1258.0,-0.850381,0.42703,-1.9914,-0.9913,0.9481
lstm,25,1258.0,-0.990245,0.434858,-2.2772,-0.9957,1.0938
tft,25,1258.0,-1.170307,0.444931,-2.6303,-0.9983,1.1997
