p,q,aic,bic
0,1,-12337.633290469239,-12320.45862515127
1,0,-12337.489904599257,-12320.315239281288
1,1,-12339.128373715423,-12316.22881995813
0,2,-12336.451803060969,-12313.552249303677
2,0,-12336.228817860168,-12313.329264102877
0,3,-12336.293239092887,-12307.668796896272
3,0,-12335.879997802835,-12307.25555560622
1,2,-12334.400861382866,-12305.776419186252
2,1,-12334.27564604724,-12305.651203850624
2,2,-12339.81666793801,-12305.467337302072
1,3,-12337.149593134138,-12302.8002624982
3,1,-12333.925512244234,-12299.576181608296
2,3,-12336.53725142481,-12296.46303234955
3,2,-12331.971207637254,-12291.896988561994
3,3,-12330.082779233384,-12284.2836717188
