model,cost_bps,n_days,annualised_return,annualised_volatility,sharpe_ratio,maximum_drawdown,avg_daily_turnover
lstm,0,1258.0,0.166811,0.216953,0.7689,-0.4064,1.2745
gru,0,1258.0,0.181757,0.245534,0.7403,-0.2397,0.9378
tft,0,1258.0,0.146306,0.242414,0.6035,-0.3736,1.2093
mean_baseline,0,1258.0,0.136369,0.282768,0.4823,-0.5529,0.0074
arma,0,1258.0,0.062874,0.17849,0.3523,-0.2374,0.0785
ar1_garch_t,0,1258.0,0.058077,0.178561,0.3253,-0.2374,0.0785
mean_baseline,5,1258.0,0.134506,0.282745,0.4757,-0.5546,0.0074
arma,5,1258.0,0.043103,0.178716,0.2412,-0.2604,0.0785
ar1_garch_t,5,1258.0,0.038306,0.178783,0.2143,-0.2604,0.0785
gru,5,1258.0,-0.054558,0.24546,-0.2223,-0.652,0.9378
tft,5,1258.0,-0.158438,0.242379,-0.6537,-0.7421,1.2093
lstm,5,1258.0,-0.154359,0.216577,-0.7127,-0.8002,1.2745
mean_baseline,10,1258.0,0.132643,0.282723,0.4692,-0.5562,0.0074
arma,10,1258.0,0.023331,0.17912,0.1303,-0.2827,0.0785
ar1_garch_t,10,1258.0,0.018535,0.179183,0.1034,-0.2827,0.0785
gru,10,1258.0,-0.290873,0.245516,-1.1847,-0.861,0.9378
tft,10,1258.0,-0.463182,0.242439,-1.9105,-0.9224,1.2093
lstm,10,1258.0,-0.475529,0.216362,-2.1978,-0.9473,1.2745
mean_baseline,25,1258.0,0.127054,0.28267,0.4495,-0.561,0.0074
arma,25,1258.0,-0.035983,0.181376,-0.1984,-0.3583,0.0785
ar1_garch_t,25,1258.0,-0.04078,0.181427,-0.2248,-0.357,0.0785
gru,25,1258.0,-0.999818,0.246463,-4.0567,-0.9942,0.9378
tft,25,1258.0,-1.377413,0.243182,-5.6641,-0.9991,1.2093
lstm,25,1258.0,-1.439038,0.21669,-6.641,-0.9993,1.2745
